Input,Output,Domain
"오후 2시 10분경 전시관 1층 A입구 앞에서 62명의 인원이 확인되었습니다. 기준 인원은 40명입니다.","전시관 1층 A입구 앞에서 기준 인원 40명을 22명 상회하는 62명이 관측되었습니다. 진입로 협착으로 대기열이 형성되고 있어 우회 경로 안내를 권장합니다.",군중 밀집 및 체류 감지
"오전 9시 35분, 지하철역 2층 출입구에 48명이 집계되고 있으며 기준값은 50명으로 설정되어 있습니다.","오전 9시 35분 현재 지하철역 2층 출입구에 기준 인원 50명보다 2명 적은 48명이 머물고 있습니다. 원활한 흐름이 유지되고 있어 정상 운영이 가능합니다.",군중 밀집 및 체류 감지
"오전 10시 20분 야구장 2층 계단 상단 37명 집계, 기준치 25명","야구장 2층 계단 상단에서 기준치 25명을 12명 넘어선 37명이 밀집되어 있습니다. 경기 시작 전 관중 유입으로 병목이 심화되고 있어 추가 출입구 개방이 필요합니다. 오후 2시 경기 시작 전까지 더 많은 관중이 몰릴 것으로 예상됩니다.",군중 밀집 및 체류 감지
"정오 12시 50분, 공항 국내선 게이트 대기구역에서 98명 체류 중이며 허용 기준은 100명입니다.","정오 현재 공항 국내선 게이트 대기구역에 기준 허용 100명보다 2명 적은 98명이 대기하고 있습니다. 적정 범위 내에서 운영되고 있으나 오후 2시경 항공편 집중 시간대에는 대기 인원 증가가 예상됩니다.",군중 밀집 및 체류 감지
"축제장 1층 정문 앞에 오후 1시 5분 현재 85명이 밀집되어 있습니다. 기준 수용인원은 60명입니다.","축제장 1층 정문 앞에서 기준 수용인원 60명을 25명 웃돌고 있는 85명이 몰려있습니다. 축제 메인 행사가 오후 3시에 시작되어 추가 인파 집중이 우려됩니다. 안전사고 방지를 위해 즉시 우회 동선 안내가 필요합니다.",군중 밀집 및 체류 감지
"새벽 8시 반경 병원 1층 접수대 앞 43명 파악, 표준 기준 30명","새벽 8시 반경 병원 1층 접수대 앞에 표준 기준 30명을 13명 상회하는 43명이 밀집해 있습니다. 접수 개시 시간인 오전 9시를 앞두고 대기인원이 증가하고 있어 정렬 안내와 사전 번호표 발급을 권장합니다.",군중 밀집 및 체류 감지
"오전 11시 40분 콘서트홀 3층 열람실 입구에서 19명이 머무르고 있으며, 허용 기준은 25명으로 설정되어 있습니다.","콘서트홀 3층 열람실 입구에 허용 기준 25명보다 6명 미달인 19명이 분포해 있습니다. 여유있는 상황이 지속되고 있어 현재 운영 방식을 유지하면 됩니다.",군중 밀집 및 체류 감지
"오후 3시 25분, 터미널 2층 게이트 대기라인에서 76명의 승객이 줄서있고 수용 기준은 50명입니다.","오후 3시 25분 터미널 2층 게이트 대기라인에 수용 기준 50명을 26명 초과한 76명이 대기하고 있습니다. 안전사고 위험이 높아지고 있어 인원 분산 조치와 추가 탑승 게이트 개방이 급선무입니다.",군중 밀집 및 체류 감지
"오전 10시 55분, 지하철 4호선 환승 통로에 총 58명이 체류하고 있습니다. 안전 기준은 60명입니다.","지하철 4호선 환승 통로에서 안전 기준 60명보다 2명 적은 58명이 이동하고 있습니다. 원활한 흐름이 유지되고 있으나 출근 시간대 종료 후 오후 6시경 퇴근 시간에는 승객 급증이 예상됩니다.",군중 밀집 및 체류 감지
"오후 4시 10분경, 영화관 1층 매표소 대기선에 29명의 관람객이 대기 중입니다. 권장 기준은 25명입니다.","영화관 1층 매표소 대기선에 권장 기준 25명을 4명 넘은 29명이 줄서고 있습니다. 주말 저녁 시간대로 예매 고객이 늘어나고 있어 자동 발권기 이용 안내가 효과적입니다.",군중 밀집 및 체류 감지
