Input,Output,Domain
"14:10 전시관 1층 A입구 앞 감지 인원 62명, 기준 인원 40명","전시관 1층 A입구 앞에 14시 10분 현재 62명이 체류 중이며, 기준 인원 40명을 크게 넘어섰습니다. 입구 앞 정체로 진입이 원활하지 않아 유입 조절 안내가 필요합니다.",군중 밀집 및 체류 감지
"현재 시각 09시 35분, 지하상가 B2출입구 감지 인원 48명, 기준 인원 50명","09시 35분 지하상가 B2출입구에 48명이 감지되었습니다. 기준 인원에 근접해 있으며, 혼잡 우려가 있어 유도선을 재정비해 주세요.",군중 밀집 및 체류 감지
"10:20 백화점 2층 C계단 상단 감지 인원 37명, 기준 인원 25명",10시 20분 기준 백화점 2층 C계단 상단에 기준보다 12명이 더 많은 인원이 머무르고 있습니다. 상단 정체로 흐름이 느려지고 있어 우회 유도가 필요합니다.,군중 밀집 및 체류 감지
"12:50 공항 국내선 D게이트 대기구역 인원 98명, 기준 인원 100명","공항 국내선 D게이트 대기구역에 12시 50분 현재 98명이 체류 중입니다. 기준 인원에 근접해 있으며, 혼잡 방지를 위해 질서 안내가 필요합니다.",군중 밀집 및 체류 감지
"복합상가 1층 E정문 앞 현재 인원 85명, 기준 인원 60명, 시각 13:05",복합상가 1층 E정문 앞에 기준 인원을 25명 초과한 85명이 감지되었습니다. 13시 05분 기준 유입이 계속되고 있어 분산 방송이 필요합니다.,군중 밀집 및 체류 감지
"08:30 병원 1층 F접수대 앞 감지 인원 43명, 기준 인원 30명",병원 1층 F접수대 앞에 08시 30분 현재 기준보다 많은 43명이 모여 있습니다. 대기열이 길어지며 공간 활용이 어려워지고 있어 정렬 유도가 요구됩니다.,군중 밀집 및 체류 감지
"현재 시각 11시 40분, 도서관 3층 G열람실 입구 인원 19명, 기준 인원 25명",도서관 3층 G열람실 입구에 11시 40분 현재 19명이 머물고 있습니다. 기준보다 적은 수치이나 정체 반복 구간이므로 유입 시 주의가 필요합니다.,군중 밀집 및 체류 감지
"터미널 2층 H게이트 대기라인 인원 76명, 기준 인원 50명, 시각 15:25",15시 25분 터미널 2층 H게이트 대기라인에 76명이 대기 중입니다. 기준 인원 50명을 크게 넘어선 상태이며 탑승 흐름에 방해가 있어 줄 정비 안내가 필요합니다.,군중 밀집 및 체류 감지
"10:55 지하철 4호선 I환승 통로 감지 인원 61명, 기준 인원 60명","지하철 4호선 I환승 통로에 10시 55분 현재 61명이 감지되었습니다. 기준 인원을 약간 넘은 수준이나, 흐름이 정체되는 구간으로 안내 유도가 권장됩니다.",군중 밀집 및 체류 감지
"현재 16:10 영화관 1층 J매표소 대기선 인원 29명, 기준 인원 25명","영화관 1층 J매표소 앞에 16시 10분 현재 29명이 줄을 서 있습니다. 기준 인원을 넘은 상태로, 매표 라인 정리가 필요합니다.",군중 밀집 및 체류 감지
"14:15 백화점 1층 A출입구 사람 42명, 기준 인원 30명",현재 시각 14시 15분 기준 백화점 1층 A출입구에 기준 인원 30명을 넘긴 42명이 체류 중입니다. 출입이 지연되고 있어 우회 안내가 필요합니다.,군중 밀집 및 체류 감지
"현재 시각은 09시 10분이며, 병원 2층 B복도 끝에 19명이 있습니다. 기준은 25명입니다.",병원 2층 B복도 끝에는 09시 10분 현재 기준 인원보다 적은 19명이 확인되었습니다. 이 시점에서는 정체 없이 원활한 상태입니다.,군중 밀집 및 체류 감지
"13:50 전시센터 3층 C라인 부스 앞 기준 인원 40명, 현재 인원 86명","전시센터 3층 C라인 부스 앞에 기준 인원 40명을 두 배 이상 초과한 86명이 체류 중입니다. 13시 50분 기준, 대기 공간이 협소해 밀집도가 우려됩니다. 빠른 유도 조치가 필요합니다.",군중 밀집 및 체류 감지
